filename,answer,level,trick,generated,note,prompt
not_110_wig,not,2,2,0,,"a shaggy cream-colored wig lying on a table, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_201_poodle_karaage,dog,3,3,0,,"a small brown toy poodle curled up on a white plate, wrinkled fur, looking like fried chicken, overhead view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_202_poodle_bread,dog,3,3,0,,"a brown toy poodle sleeping with legs tucked in, rounded shape like a bread roll, on a wooden board, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_203_shiba_bread,dog,3,3,0,,"a red shiba inu lying flat on its belly, viewed from behind, looking like a loaf of bread, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_204_pom_melonpan,dog,3,3,0,,"a cream pomeranian curled into a ball, fluffy round shape, overhead view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_205_wrinkle_dog,dog,3,3,0,,"a shar pei puppy face close up, deep brown wrinkles, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_206_cocker_croissant,dog,3,3,0,,"a sleeping cocker spaniel with long golden wavy ear draped over its face, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_207_dachshund_sausage,dog,3,3,0,,"a brown dachshund lying on a white plate, viewed from above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_208_pug_manju,dog,3,3,0,,"a fawn pug sleeping with its face squished flat against a floor, viewed from above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_209_chow_lion,dog,3,2,0,,"a chow chow dog sitting, fluffy orange mane, front view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_210_labradoodle_donut,dog,3,3,0,,"a brown labradoodle curled into a ring shape sleeping, overhead view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_211_poodle_potato,dog,3,3,0,,"a light brown toy poodle sitting with fur trimmed very round like a potato, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_212_shiba_back,dog,3,2,0,,"close up of a shiba inu's back and tail, fluffy orange fur, no face, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_201_karaage,not,3,3,0,,"a pile of Japanese fried chicken karaage on a white plate, overhead view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_202_bread_roll,not,3,3,0,,"a single round brown bread roll on a wooden board, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_203_bread_loaf,not,3,3,0,,"a golden brown loaf of bread lying on a cutting board, slightly rounded, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_204_melonpan,not,3,3,0,,"a Japanese melon pan sweet bun on a plate, overhead view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_205_wrinkle_manju,not,3,3,0,,"a brown steamed bun with deep wrinkles on top, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_206_croissant,not,3,3,0,,"a golden croissant on a plate, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_207_sausage,not,3,3,0,,"a single grilled brown sausage on a white plate, viewed from above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_208_burnt_manju,not,3,3,0,,"a slightly burnt flat manju bun on a wooden tray, viewed from above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_209_lion_plush,not,3,2,0,,"a fluffy orange lion plush toy sitting, front view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_210_donut,not,3,3,0,,"a single glazed brown old-fashioned donut on a plate, overhead view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_211_potato,not,3,3,0,,"a single round brown potato on a wooden table, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_212_fur_coat,not,3,2,0,,"close up of an orange fur coat texture, no shape visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_301_corgi_butt,dog,4,3,0,,"a corgi's fluffy round rear end viewed from behind, dog walking away, orange and white fur, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_302_shiba_butt,dog,4,3,0,,"a shiba inu's round rear end and curled tail viewed from behind, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_303_pom_butt,dog,4,3,0,,"a pomeranian's fluffy round rear end viewed from behind, cream fur, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_304_bulldog_butt,dog,4,3,0,,"a french bulldog's round rear end viewed from behind, close up, fawn fur, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_305_pug_butt,dog,4,3,0,,"a pug's rear end with curly tail viewed from behind, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_306_golden_butt,dog,4,2,0,,"a golden retriever's rear end and tail viewed from behind, sitting, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_307_husky_butt,dog,4,2,0,,"a husky's fluffy grey and white rear end viewed from behind, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_308_lab_butt,dog,4,2,0,,"a chocolate labrador's rear end viewed from behind, short brown fur, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_309_poodle_butt,dog,4,3,0,,"a white toy poodle's round trimmed rear end viewed from behind, pom pom tail, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_310_dachshund_butt,dog,4,2,0,,"a dachshund's rear end viewed from behind, low to the ground, brown, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_301_peach,not,4,3,0,,"a single ripe peach on a wooden table, close up, fuzzy skin, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_302_corgi_bread,not,4,3,0,,"a bread bun shaped like a corgi's rear end, orange and white icing, on a plate, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_303_bun_split,not,4,3,0,,"a soft round bread bun with a deep crease down the middle, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_304_cushion,not,4,3,0,,"a round fluffy cream cushion with a crease in the middle, on a sofa, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_305_apricot,not,4,3,0,,"two apricots side by side on a table, close up, fuzzy skin, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_306_pompom,not,4,2,0,,"a large white yarn pom pom on a table, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_307_mochi,not,4,3,0,,"a single round white daifuku mochi with a crease, on a plate, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_308_pillow_fold,not,4,2,0,,"a grey fluffy pillow folded in half, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_309_cotton_candy,not,4,2,0,,"a ball of white cotton candy on a stick, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_310_pancake_stack,not,4,2,0,,"two round brown pancakes side by side on a plate, viewed from above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_401_eye_only,dog,5,3,0,,"extreme close up of a single chihuahua eye, brown fur around it, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_402_nose_only,dog,5,3,0,,"extreme close up of a wet black dog nose, fur around it, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_403_paw_only,dog,5,3,0,,"extreme close up of a dog paw pad, pink and black, viewed from below, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_404_ear_only,dog,5,3,0,,"extreme close up of a fluffy golden dog ear, no face, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_405_snow_samoyed,dog,5,3,0,,"a white samoyed buried in snow, only nose and eyes visible, everything white, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_406_backlit,dog,5,3,0,,"silhouette of a sitting dog against bright sunset, strong backlight, details lost, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_407_motion_blur,dog,5,3,0,,"a running brown dog with heavy motion blur, shape barely recognizable, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_408_fur_texture,dog,5,3,0,,"extreme close up of shiba inu fur texture, orange and white, no shape visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_409_tongue,dog,5,3,0,,"extreme close up of a dog tongue and teeth, panting, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_410_shadow,dog,5,3,0,,"a dog's shadow on a sunny sidewalk, dog itself out of frame, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_411_underwater,dog,5,3,0,,"a labrador swimming underwater, blurry, bubbles, viewed from below, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_412_tail_tip,dog,5,3,0,,"extreme close up of the tip of a fluffy white dog tail on grass, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_401_eye_cat,not,5,3,0,,"extreme close up of a single cat eye, brown fur around it, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_402_nose_seal,not,5,3,0,,"extreme close up of a wet black seal nose, whiskers around it, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_403_paw_cat,not,5,3,0,,"extreme close up of a cat paw pad, pink, viewed from below, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_404_ear_rabbit,not,5,3,0,,"extreme close up of a fluffy golden rabbit ear, no face, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_405_snow_hare,not,5,3,0,,"a white arctic hare buried in snow, only eyes visible, everything white, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_406_backlit_fox,not,5,3,0,,"silhouette of a sitting fox against bright sunset, strong backlight, details lost, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_407_motion_blur_cat,not,5,3,0,,"a running brown cat with heavy motion blur, shape barely recognizable, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_408_fur_texture,not,5,3,0,,"extreme close up of orange and white faux fur fabric texture, no shape visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_409_tongue_cow,not,5,3,0,,"extreme close up of a cow tongue licking, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_410_shadow_cat,not,5,3,0,,"a cat's shadow on a sunny sidewalk, cat itself out of frame, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_411_underwater_otter,not,5,3,0,,"a sea otter swimming underwater, blurry, bubbles, viewed from below, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_412_tail_tip_fox,not,5,3,0,,"extreme close up of the tip of a fluffy white fox tail on grass, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_501_poodle_in_karaage,dog,2,3,0,,"a small brown toy poodle sitting in the middle of a pile of fried chicken karaage on a big plate, overhead view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_501_hotdog_bun,not,2,3,0,,"a single long hot dog bun without sausage on a wooden board, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_502_dachshund_stretch,dog,2,2,0,,"a dachshund sleeping stretched out very long on a bed, viewed from the side, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_502_tapioca,not,2,2,0,,"two black tapioca pearls on a white spoon, extreme close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_503_leather_gloves,not,2,2,0,,"two brown leather gloves hanging from a hook, fingers drooping, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_503_beagle_ears,dog,2,3,0,,"a beagle's two long brown ears drooping over the edge of a sofa, face hidden, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_504_yarn_ball,not,2,2,0,,"a ball of light brown wool yarn on a table, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_504_shih_tzu,dog,2,2,0,,"a shih tzu face close up, long fur hiding the eyes, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_505_old_plush,not,2,3,0,,"an old worn brown plush toy dog on a shelf, faded fabric, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_505_yorkie_back,dog,2,2,0,,"a yorkshire terrier viewed from behind, long silky fur, no face, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_506_gold_fur_coat,not,2,3,0,,"extreme close up of golden fur coat texture, no shape visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_506_golden_fur_close,dog,2,3,0,,"extreme close up of golden retriever fur, no shape visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_507_black_bag,not,2,3,0,,"a black soft leather bag with two round metal studs, close up, dark background, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_507_black_lab_dark,dog,2,3,0,,"a black labrador in a dark room, only two eyes and a nose catching light, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_508_eggplant,not,2,2,0,,"a single eggplant standing upright on a table, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_508_greyhound_face,dog,2,2,0,,"a greyhound's long narrow face, side view, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_509_towels_triangle,not,2,2,0,,"two brown hand towels folded into triangles on a bed, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_509_shiba_ears_futon,dog,2,3,0,,"a futon with two pointy orange shiba inu ears sticking out from under it, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_510_black_beans,not,2,2,0,,"four small black beans and one large black bean arranged on a white plate, overhead view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_511_fuzzy_slippers,not,2,3,0,,"a pair of fluffy brown room slippers on a wooden floor, viewed from above, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_510_poodle_legs,dog,2,3,0,,"only the four fluffy legs of a standing toy poodle visible, body cropped out, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_512_white_vase,not,2,2,0,,"a tall thin white ceramic vase on a table, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_511_borzoi_profile,dog,2,2,0,,"a borzoi's long narrow face in profile, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_513_donut_cushion,not,2,2,0,,"a round grey donut-shaped cushion on a wooden floor, overhead view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_512_shiba_donut_cushion,dog,2,3,0,,"a shiba inu curled up inside a round grey donut-shaped cushion, overhead view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_514_black_mop,not,2,3,0,,"a black string mop head lying on a dark floor, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_513_black_poodle_carpet,dog,2,3,0,,"a black poodle lying flat on a dark carpet, barely distinguishable, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_515_feather_duster,not,2,2,0,,"a fluffy brown feather duster leaning against a wall, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_514_tail_curtain,dog,2,3,0,,"a fluffy dog tail sticking out from behind a curtain, dog hidden, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_516_bow_tie,not,2,2,0,,"a single black and white bow tie on a table, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_515_papillon_ears,dog,2,3,0,,"a papillon dog facing camera with huge fringed ears spread wide like butterfly wings, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_517_butterfly,not,2,2,0,,"a black and white butterfly with wings spread on a white surface, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_516_schnauzer_beard,dog,2,3,0,,"extreme close up of a miniature schnauzer's grey beard and eyebrows, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_518_bw_brush,not,2,2,0,,"a black and white bristle brush, close up, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_601_plush_row,not,4,2,0,,"a row of dog plush toys lined up on a shelf, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_601_dog_among_plush,dog,4,3,0,,"a small real pomeranian sitting among many dog plush toys of the same color, hard to tell apart, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_602_realistic_figure,not,4,3,0,,"a hyper realistic resin figurine of a shiba inu on a desk, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_603_dog_cake,not,4,3,0,,"a cake decorated to look exactly like a sleeping corgi, on a cake stand, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_602_corgi_beside_cake,dog,4,3,0,加工：犬だけ切り出す,"a real corgi lying in the same pose next to a corgi-shaped cake, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_604_dog_face_bread,not,4,3,0,,"a bread bun baked to look like a shiba inu face, on a plate, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_603_face_in_bread_bag,dog,4,2,0,,"a dog with its whole head inside a bread bag, only body visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_605_printed_cushion,not,4,3,0,,"a cushion with a photo print of a dog face on it, on a sofa, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_604_half_behind_cushion,dog,4,3,0,,"a real dog peeking half its face out from behind a cushion on a sofa, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_606_stump,not,4,2,0,,"an old tree stump with a shape that looks like a sitting dog, in a forest, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_607_topiary,not,4,3,0,,"a garden bush trimmed into the shape of a sitting dog, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_605_dog_beside_topiary,dog,4,3,0,加工：犬だけ切り出す,"a real dog sitting in the same pose next to a dog-shaped topiary, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_608_cardboard_holes,not,4,2,0,,"a cardboard box with two round holes and a slit that looks like a dog face, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_606_head_from_box,dog,4,2,0,,"a small dog's head poking out of a cardboard box, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_609_yarn_flowerpot,not,4,2,0,,"a round terracotta pot stuffed with brown wool yarn, looks vaguely like a dog, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_607_mameshiba_pot,dog,4,2,0,,"a tiny shiba inu peeking out from behind a terracotta flowerpot, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_610_bread_with_ears,not,4,3,0,,"a slice of toast with two small triangular bread pieces on top like dog ears, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_611_lion_hat_plush,not,4,2,0,,"a plush toy wearing a lion mane hat, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_608_chow_lion_pose,dog,4,3,0,,"a chow chow dog sitting like a lion, mane fluffed out, front view, golden light, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_701_blanket_wrinkle_face,not,5,3,0,,"a beige blanket with wrinkles that accidentally look like a dog face, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_702_sofa_wrinkle_face,not,5,3,0,,"a brown leather sofa cushion with creases that look like a dog face, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_701_sofa_camouflage,dog,5,3,0,,"a brown dog lying on a brown sofa of exactly the same color, blending in completely, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_703_snow_branch,not,5,2,0,,"a single dark tree branch sticking out of deep snow, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_702_akita_snow,dog,5,3,0,,"an akita dog almost completely buried in snow, only one ear showing, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_703_leaves_buried,dog,5,3,0,,"a brown dog buried in a pile of autumn leaves, only its back visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_704_leaves_dog_shape,not,5,3,0,,"a pile of autumn leaves that accidentally forms the shape of a dog, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_704_white_on_white_rug,dog,5,3,0,,"a white maltese sleeping on a white shaggy rug, almost invisible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_705_white_shaggy_rug,not,5,2,0,,"a white shaggy rug on a wooden floor, overhead view, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_705_kuroshiba_shadow,dog,5,3,0,,"a black shiba inu standing in deep shadow, only the outline visible, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_706_dog_shaped_shadow,not,5,3,0,,"a shadow on a wall shaped like a sitting dog, cast by an object out of frame, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_706_nose_above_water,dog,5,3,0,,"only a dog's nose and eyes above the surface of a pond, swimming, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_707_rubber_ball_water,not,5,2,0,,"a black rubber ball floating on the surface of a pond, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_707_laundry_basket_fur,dog,5,3,0,,"a laundry basket with brown dog fur visible between folded clothes, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_708_laundry_pile,not,5,2,0,,"a pile of beige and brown laundry in a basket, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
dog_708_tail_scarf,dog,5,3,0,,"a long-haired dog's fluffy tail draped over a chair back, looks like a scarf, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
not_709_fluffy_scarf,not,5,2,0,,"a fluffy beige scarf draped over a chair back, square composition, centered subject, natural light, simple plain background, photo --ar 1:1 --style raw"
